timestamp,run_label,recording_seconds,whisper_seconds,gemini_seconds,llm_provider,llm_model,llm_call_seconds,retry_wait_seconds,focus_window_seconds,clipboard_write_seconds,pre_paste_wait_seconds,key_send_seconds,post_paste_wait_seconds,paste_verification_seconds,paste_seconds,total_tail_latency_seconds
2026-07-09T13:22:45.947426+00:00,real_voice,3.276000,3.572692,0.711399,gemini,gemini-3.1-flash-lite,0.711351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,4.284393
2026-07-09T13:22:49.645708+00:00,real_voice,4.056000,3.036319,0.632028,gemini,gemini-3.1-flash-lite,0.631979,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,3.668828
2026-07-09T13:22:52.517430+00:00,real_voice,3.406000,1.987868,0.856492,gemini,gemini-3.1-flash-lite,0.856435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,2.844720
2026-07-09T13:22:54.748653+00:00,real_voice,4.888000,1.590860,0.612888,gemini,gemini-3.1-flash-lite,0.612847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,2.204090
2026-07-09T13:22:56.809579+00:00,real_voice,5.356000,1.454908,0.578885,gemini,gemini-3.1-flash-lite,0.578842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,2.034113
2026-07-09T13:22:59.588447+00:00,real_voice,5.590000,2.154356,0.595869,gemini,gemini-3.1-flash-lite,0.595832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,2.750580
2026-07-09T13:23:13.837726+00:00,real_voice,6.266000,1.728383,12.493644,gemini,gemini-3.1-flash-lite,12.493607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,14.222320
2026-07-09T13:23:22.812807+00:00,real_voice,6.084000,4.047984,4.901729,gemini,gemini-3.1-flash-lite,4.901690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,8.950070
2026-07-09T13:23:24.968048+00:00,real_voice,5.850000,1.300081,0.823910,gemini,gemini-3.1-flash-lite,0.823869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,2.124302
2026-07-09T13:23:26.818749+00:00,real_voice,5.538000,1.198620,0.621160,gemini,gemini-3.1-flash-lite,0.621123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.820111
2026-07-09T13:23:30.307351+00:00,real_voice,12.558000,2.556589,0.904770,gemini,gemini-3.1-flash-lite,0.904734,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,3.461759
2026-07-09T13:23:38.111404+00:00,real_voice,9.126000,2.757885,5.017598,gemini,gemini-3.1-flash-lite,5.017557,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,7.775797
2026-07-09T13:23:41.496937+00:00,real_voice,7.098000,2.696251,0.661469,gemini,gemini-3.1-flash-lite,0.661413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,3.358055
2026-07-09T13:23:47.870687+00:00,real_voice,7.254000,1.376402,4.965733,gemini,gemini-3.1-flash-lite,4.965695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,6.342449
2026-07-09T13:23:54.761817+00:00,real_voice,12.350000,1.693107,5.170454,gemini,gemini-3.1-flash-lite,5.170417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,6.863878
2026-07-09T13:23:57.835125+00:00,real_voice,11.752000,2.356987,0.686749,gemini,gemini-3.1-flash-lite,0.686707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,3.044478
